Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2001,2001,t,162458,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2002,2002,t,189794,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2003,2003,t,217049,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2004,2004,t,272365,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2005,2005,t,300143,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2006,2006,t,405029,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2007,2007,t,378172,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2008,2008,t,365240,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2009,2009,t,297002,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2010,2010,t,315270,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2011,2011,t,442397,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2012,2012,t,512031,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2013,2013,t,452076,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2014,2014,t,607969.23,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2015,2015,t,488536.69,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2016,2016,t,516533.69,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2017,2017,t,774625.69,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2018,2018,t,818069.82,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2019,2019,t,851810.26,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2020,2020,t,854379.72,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2021,2021,t,994155.06,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2022,2022,t,928238.05,E,Estimated value,
TCL,Crops and livestock products,142.03,Asia (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2023,2023,t,1085472.41,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1986,1986,t,706958,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1987,1987,t,687475,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1988,1988,t,755109,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1989,1989,t,834338,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1990,1990,t,744326,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1991,1991,t,1063956,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1992,1992,t,1082240,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1993,1993,t,1040404,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1994,1994,t,1141345,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1995,1995,t,1148937,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1996,1996,t,1201498,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1997,1997,t,1067478,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1998,1998,t,1200177,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1999,1999,t,1372612,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2000,2000,t,1348788,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2001,2001,t,1366389,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2002,2002,t,1309027,E,Estimated value,
