Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,1990,1990,ha,693249,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,1991,1991,ha,720898,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,1992,1992,ha,720898,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,1993,1993,ha,702061,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,1994,1994,ha,686531,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,1995,1995,ha,1000000,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,1996,1996,ha,1050000,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,1997,1997,ha,1074970,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,1998,1998,ha,1364530,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,1999,1999,ha,1300000,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,2000,2000,ha,1500000,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,2001,2001,ha,1350000,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,2002,2002,ha,1195000,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,2003,2003,ha,1500000,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,2004,2004,ha,2000000,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,2005,2005,ha,1850000,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,2006,2006,ha,1835000,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,2007,2007,ha,1463000,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,2008,2008,ha,1822500,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1640,Cocoa beans,2009,2009,ha,1600000,A,Official figure,
